"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease slightly"
"Russian Federation","Russian Federation","United Kingdom","Male","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Female","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Germany","Germany","United Kingdom","Male","Very important",NA,1,NA,NA,"Will decrease considerably","","","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"United Kingdom","United Kingdom","","Female","Very important",NA,NA,NA,1,"Can't comment","Will stay the same","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","","Male","Very important",1,1,1,NA,"Will increase considerably","Will increase considerably","Will increase considerably","Will increase considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"","","United Kingdom","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Can't comment",NA,NA,1,NA,"Can't comment","Will increase slightly","Will increase slightly","Will increase considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"China","China","United Kingdom","Female","Not very important",NA,1,NA,NA,"Will decrease considerably","Will increase considerably","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase considerably","Can't comment"
"Spain","Spain","United Kingdom","Male","Very important",NA,NA,1,NA,"","Will decrease slightly","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Female","Not at all important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Very important",NA,NA,1,NA,"Will decrease considerably","","Will decrease slightly","Will decrease slightly"
"Illinois","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease considerably","Will stay the same"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"Italy","Italy","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","","Female","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Can't comment",NA,NA,NA,NA,"Will decrease considerably","","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,1,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Female","Very important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"","","United Kingdom","Male","Can't comment",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"","","United Kingdom","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase considerably","Will increase slightly","Can't comment"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will stay the same"
"","","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will increase considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Can't comment",NA,NA,NA,1,"Can't comment","Can't comment","Will stay the same","Will stay the same"
